The Shadow Between	/wiki/The_Shadow_Between_(1931_film)	1931	Norman Walker	Godfrey Tearle, Kathleen O'Regan	Romance/Drama	NULL	UK
The Skin Game	/wiki/The_Skin_Game_(1931_film)	1931	Alfred Hitchcock	Edmund Gwenn, Helen Haye	Drama	NULL	UK
The Sleeping Cardinal	/wiki/The_Sleeping_Cardinal	1931	Leslie S. Hiscott	Arthur Wontner, Ian Fleming	Mystery	NULL	UK
The Speckled Band	/wiki/The_Speckled_Band_(1931_film)	1931	Jack Raymond	Raymond Massey, Lyn Harding	Mystery	NULL	UK
The Sport of Kings	/wiki/The_Sport_of_Kings_(film)	1931	Victor Saville	Leslie Henson, Hugh Wakefield, Gordon Harker	Comedy	NULL	UK
Stranglehold	/wiki/Stranglehold_(1931_film)	1931	Henry Edwards	Isobel Elsom, Garry Marsh	Drama	NULL	UK
The Stronger Sex	/wiki/The_Stronger_Sex	1931	Gareth Gundrey	Colin Clive, Adrianne Allen	Drama	NULL	UK
Sunshine Susie	/wiki/Sunshine_Susie	1931	Victor Saville	Renate Müller, Jack Hulbert	Musical	NULL	UK
Tell England	/wiki/Tell_England_(film)	1931	Anthony Asquith	Fay Compton, Tony Bruce	World War I Drama	NULL	UK
These Charming People	/wiki/These_Charming_People	1931	Louis Mercanton	Cyril Maude, Godfrey Tearle	Drama	NULL	UK
Third Time Lucky	/wiki/Third_Time_Lucky_(1931_film)	1931	Walter Forde	Bobby Howes, Dorothy Boyd	Comedy	NULL	UK
Tilly of Bloomsbury	/wiki/Tilly_of_Bloomsbury_(1931_film)	1931	Jack Raymond	Sydney Howard, Phyllis Konstam	Comedy	NULL	UK
To Oblige a Lady	/wiki/To_Oblige_a_Lady	1931	H. Manning Haynes	Masie Gay, Warwick Ward	Comedy	NULL	UK
Two Crowded Hours	/wiki/Two_Crowded_Hours	1931	Michael Powell	Jerry Verno	Comedy	NULL	UK
Uneasy Virtue	/wiki/Uneasy_Virtue	1931	Norman Walker	Fay Compton, Edmund Breon	Comedy	NULL	UK
Up for the Cup	/wiki/Up_for_the_Cup_(1931_film)	1931	Jack Raymond	Sydney Howard, Joan Wyndham	Comedy	NULL	UK
What a Night!	/wiki/What_a_Night!_(1931_film)	1931	Monty Banks	Leslie Fuller, Molly Lamont	Comedy	NULL	UK
Who Killed Doc Robin?	/wiki/Who_Killed_Doc_Robin%3F	1931	W.P. Kellino	Clifford Heatherley, Dorrie Deane	Comedy Short	NULL	UK
The Wickham Mystery	/wiki/The_Wickham_Mystery	1931	G. B. Samuelson	Wallace Bosco, Doris Clemence	Mystery	NULL	UK
The Woman Between	/wiki/The_Woman_Between_(1931_British_film)	1931	Miles Mander	Owen Nares, Adrianne Allen	Romance	NULL	UK
The Written Law	/wiki/The_Written_Law	1931	Reginald Fogwell	Madeleine Carroll, Percy Marmont	Drama	NULL	UK
The Wrong Mr. Perkins	/wiki/The_Wrong_Mr._Perkins	1931	Arthur Varney-Serrao	Herbert Mundin, Sonia Bellamy	Comedy Short	NULL	UK
Account Rendered	/wiki/Account_Rendered_(1932_film)	1932	Leslie Howard Gordon	Cecil Ramage, Reginald Bach	Crime Drama Short	NULL	UK
After Office Hours	/wiki/After_Office_Hours_(1932_film)	1932	Thomas Bentley	Viola Lyel, Heather Angel, Frank Lawton	Drama	NULL	UK
After the Ball	/wiki/After_the_Ball_(1932_film)	1932	Milton Rosmer	Esther Ralston, Basil Rathbone	Comedy	NULL	UK
Aren't We All?	/wiki/Aren%27t_We_All%3F_(film)	1932	Harry Lachman	Gertrude Lawrence, Owen Nares	Comedy	NULL	UK
Bachelor's Baby	/wiki/Bachelor%27s_Baby	1932	Harry Hughes	William Freshman, Henry Wenman, Alma Taylor	Comedy	NULL	UK
The Bad Companions	/wiki/The_Bad_Companions	1932	J.O.C. Orton	Nor Kiddie, Renee Gadd, Walter Lupino	Comedy Short	NULL	UK
The Barton Mystery	/wiki/The_Barton_Mystery_(1932_film)	1932	Henry Edwards	Ursula Jeans, Lyn Harding, Wendy Barrie	Thriller	NULL	UK
Betrayal	/wiki/Betrayal_(1932_film)	1932	Reginald Fogwell	Stewart Rome, Marjorie Hume	Drama	NULL	UK
The Blue Danube	/wiki/The_Blue_Danube_(1932_film)	1932	Herbert Wilcox	Brigitte Helm, Joseph Schildkraut	Romance	NULL	UK
Brother Alfred	/wiki/Brother_Alfred	1932	Henry Edwards	Gene Gerrard, Molly Lamont	Comedy	NULL	UK
Carmen	/wiki/Carmen_(1932_film)	1932	Cecil Lewis	Marguerite Namara, Thomas F. Burke	Musical	Based on Bizet's Carmen. Alternative title Gipsy Blood.	UK
Castle Sinister	/wiki/Castle_Sinister	1932	Widgey R. Newman	Haddon Mason, Isla Kilpatrick, Wally Patch	Horror	NULL	UK
The Chinese Puzzle	/wiki/The_Chinese_Puzzle_(1932_film)	1932	Guy Newall	Leon M. Lion, Elizabeth Allan, Austin Trevor	Drama	NULL	UK
C.O.D.	/wiki/C.O.D._(film)	1932	Michael Powell	Garry Marsh, Hope Davey	Thriller	NULL	UK
Condemned to Death	/wiki/Condemned_to_Death	1932	Walter Forde	Arthur Wontner, Gillian Lind	Crime	NULL	UK
Dance Pretty Lady	/wiki/Dance_Pretty_Lady	1932	Anthony Asquith	Anne Casson, Moore Marriott, Flora Robson	Drama	NULL	UK
Detective Lloyd	/wiki/Detective_Lloyd	1932	Henry MacRae Ray Taylor	Jack Lloyd, Muriel Angelus	Drama	12 part Movie serial	UK
Diamond Cut Diamond	/wiki/Diamond_Cut_Diamond_(film)	1932	Fred Niblo Maurice Elvey	Adolphe Menjou, Claud Allister	Comedy	NULL	UK
Don't Be a Dummy	/wiki/Don%27t_Be_a_Dummy	1932	Frank Richardson	Georgie Harris, Garry Marsh, Muriel Angelus	Drama	NULL	UK
Double Dealing	/wiki/Double_Dealing_(1932_film)	1932	Leslie S. Hiscott	Frank Pettingell, Richard Cooper, Zoe Palmer	Comedy	NULL	UK
Down Our Street	/wiki/Down_Our_Street	1932	Harry Lachman	Elizabeth Allan, Hugh Williams, Binnie Barnes	Drama	NULL	UK
Ebb Tide	/wiki/Ebb_Tide_(1932_film)	1932	Arthur Rosson	Chili Bouchier, George Barraud	Drama	NULL	UK
The Face at the Window	/wiki/The_Face_at_the_Window_(1932_film)	1932	Leslie S. Hiscott	Raymond Massey, Isla Bevan, Claude Hulbert	Thriller	NULL	UK
The Faithful Heart	/wiki/The_Faithful_Heart_(1932_film)	1932	Victor Saville	Herbert Marshall, Edna Best, Anne Grey	Romantic Drama	NULL	UK
Fires of Fate	/wiki/Fires_of_Fate_(1932_film)	1932	Norman Walker	Lester Matthews, Dorothy Bartlam, Donald Calthrop	Romantic Drama	NULL	UK
The First Mrs. Fraser	/wiki/The_First_Mrs._Fraser_(1932_film)	1932	Sinclair Hill	Joan Barry, Henry Ainley, Harold Huth	Romantic Drama	NULL	UK
The Flag Lieutenant	/wiki/The_Flag_Lieutenant_(1932_film)	1932	Henry Edwards	Henry Edwards, Anna Neagle	War	NULL	UK
The Flying Squad	/wiki/The_Flying_Squad_(1932_film)	1932	F. W. Kraemer	Carol Goodner, Harold Huth, Henry Wilcoxen	Thriller	NULL	UK
Frail Women	/wiki/Frail_Women	1932	Maurice Elvey	Mary Newcomb, Owen Nares	Drama	NULL	UK
The Frightened Lady	/wiki/The_Frightened_Lady_(1932_film)	1932	T. Hayes Hunter,	Emlyn Williams, Cathleen Nesbitt	Thriller	NULL	UK
For the Love of Mike	/wiki/For_the_Love_of_Mike_(1932_film)	1932	Monty Banks	Bobby Howes, Constance Shotter	Musical Comedy	NULL	UK
Goodnight, Vienna	/wiki/Goodnight,_Vienna	1932	Herbert Wilcox	Jack Buchanan, Anna Neagle, Gina Malo	Musical	NULL	UK
Help Yourself	/wiki/Help_Yourself_(film)	1932	Jean Daumery	Benita Hume, Martin Walker	Comedy	NULL	UK
Her Night Out	/wiki/Her_Night_Out	1932	William C. McGann	Dorothy Bartlam, Lester Matthews	Comedy	NULL	UK
His Lordship	/wiki/His_Lordship	1932	Michael Powell	Jerry Verno, Janet McGrew	Comedy	NULL	UK
Hotel Splendide	/wiki/Hotel_Splendide_(1932_film)	1932	Michael Powell	Jerry Verno, Anthony Holles	Crime	NULL	UK
The Impassive Footman	/wiki/The_Impassive_Footman	1932	Basil Dean	Owen Nares, Betty Stockfeld, Allan Jeayes	Drama	NULL	UK
Jack's the Boy	/wiki/Jack%27s_the_Boy	1932	Walter Forde	Jack Hulbert, Cicely Courtneidge	Comedy	NULL	UK
The Last Coupon	/wiki/The_Last_Coupon	1932	Frank Launder	Leslie Fuller, Mary Jerrold	Comedy	NULL	UK
Leap Year	/wiki/Leap_Year_(1932_film)	1932	Tom Walls	Tom Walls, Anne Grey, Edmund Breon	Comedy	NULL	UK
The Lodger	/wiki/The_Lodger_(1932_film)	1932	Maurice Elvey	Ivor Novello, Elizabeth Allan	Thriller	NULL	UK
Looking on the Bright Side	/wiki/Looking_on_the_Bright_Side	1932	Graham Cutts, Basil Dean	Gracie Fields, Richard Dolman	Comedy	NULL	UK
Lord Babs	/wiki/Lord_Babs	1932	Walter Forde	Bobby Howes, Jean Colin	Comedy	NULL	UK
