Reckless Living	/wiki/Reckless_Living	1931	Cyril Gardner	Ricardo Cortez, Mae Clarke, Norman Foster	Drama	NULL	USA
Resurrection	/wiki/Resurrection_(1931_English-language_film)	1931	Edwin Carewe	Lupe Vélez, John Boles	Drama	NULL	USA
Rich Man's Folly	/wiki/Rich_Man%27s_Folly	1931	John Cromwell	Frances Dee, George Bancroft	Drama	NULL	USA
The Right of Way	/wiki/The_Right_of_Way	1931	Frank Lloyd	Conrad Nagel, Loretta Young	Drama	NULL	USA
The Road to Reno	/wiki/The_Road_to_Reno	1931	Richard Wallace	Lilyan Tashman, Charles Rogers, Peggy Shannon	Comedy, Drama	NULL	USA
Scandal Sheet	/wiki/Scandal_Sheet_(1931_film)	1931	John Cromwell	George Bancroft, Kay Francis, Clive Brook	Drama	NULL	USA
The Sea Ghost	/wiki/The_Sea_Ghost	1931	William Nigh	Alan Hale, Laura La Plante	Drama	NULL	USA
The Secret Call	/wiki/The_Secret_Call	1931	Stuart Walker	Peggy Shannon, Richard Arlen, William B. Davidson	Drama	NULL	USA
The Secret Six	/wiki/The_Secret_Six	1931	George W. Hill	Wallace Beery, Lewis Stone	Crime	NULL	USA
Secrets of a Secretary	/wiki/Secrets_of_a_Secretary	1931	George Abbott	Claudette Colbert, Herbert Marshall	Drama	NULL	USA
Sidewalks of New York	/wiki/Sidewalks_of_New_York_(1931_film)	1931	Zion Meyers, Jules White	Buster Keaton, Anita Page, Cliff Edwards	Comedy	NULL	USA
The Sin of Madelon Claudet	/wiki/The_Sin_of_Madelon_Claudet	1931	Edgar Selwyn	Helen Hayes, Lewis Stone	Drama	NULL	USA
Six Cylinder Love	/wiki/Six_Cylinder_Love_(1931_film)	1931	Thornton Freeland	Spencer Tracy, Edward Everett Horton	Comedy	NULL	USA
Skippy	/wiki/Skippy_(1931_film)	1931	Norman Taurog	Jackie Cooper, Mitzi Green, Jackie Searl	Comedy, Drama	NULL	USA
Smart Money	/wiki/Smart_Money_(1931_film)	1931	Alfred E. Green	Edward G. Robinson, James Cagney, Margaret Livingston	Drama, Crime	NULL	USA
The Smiling Lieutenant	/wiki/The_Smiling_Lieutenant	1931	Ernst Lubitsch	Maurice Chevalier, Claudette Colbert, Miriam Hopkins	Musical comedy	NULL	USA
The Spirit of Notre Dame	/wiki/The_Spirit_of_Notre_Dame	1931	Russell Mack	Lew Ayres, Sally Blane, William Bakewell	Drama, Sports	NULL	USA
The Squaw Man	/wiki/The_Squaw_Man_(1931_film)	1931	Cecil B. DeMille	Warner Baxter, Lupe Vélez	Drama	NULL	USA
The Stolen Jools	/wiki/The_Stolen_Jools	1931	William C. McGann	Wallace Beery, Buster Keaton, Norma Shearer	Comedy	NULL	USA
Street Scene	/wiki/Street_Scene_(1931_film)	1931	King Vidor	Sylvia Sidney, Estelle Taylor, Beulah Bondi	Drama	NULL	USA
Strictly Dishonorable	/wiki/Strictly_Dishonorable_(1931_film)	1931	John M. Stahl	Paul Lukas, Sidney Fox, Lewis Stone	Comedy	NULL	USA
Svengali	/wiki/Svengali_(1931_film)	1931	Archie Mayo	John Barrymore, Marian Marsh, Donald Crisp	Drama	NULL	USA
Tabu	/wiki/Tabu_(1931_film)	1931	F. W. Murnau	Matahi, Anne Chevalier	Drama	NULL	USA
Tarnished Lady	/wiki/Tarnished_Lady	1931	George Cukor	Tallulah Bankhead, Clive Brook	Drama	NULL	USA
Ten Cents a Dance	/wiki/Ten_Cents_a_Dance_(1931_film)	1931	Lionel Barrymore	Barbara Stanwyck, Ricardo Cortez	Romance drama	NULL	USA
Ten Nights in a Barroom	/wiki/Ten_Nights_in_a_Barroom_(1931_film)	1931	William A. O'Connor	William Farnum, Peggy Lou Lynd	Drama	NULL	USA
This Modern Age	/wiki/This_Modern_Age	1931	Nick Grinde	Joan Crawford, Neil Hamilton, Pauline Frederick	Drama	NULL	USA
Tonight or Never	/wiki/Tonight_or_Never_(1931_film)	1931	Mervyn LeRoy	Gloria Swanson, Constance Cummings	Comedy	NULL	USA
The Tip-Off	/wiki/The_Tip-Off_(film)	1931	Albert S. Rogell	Eddie Quillan, Ginger Rogers, Robert Armstrong	Comedy	NULL	USA
Trader Horn	/wiki/Trader_Horn_(1931_film)	1931	W. S. Van Dyke	Harry Carey, Edwina Booth, C. Aubrey Smith	Drama, Adventure	NULL	USA
Transatlantic	/wiki/Transatlantic_(1931_film)	1931	William K. Howard	Edmund Lowe, Myrna Loy, John Halliday	Drama	NULL	USA
Unfaithful	/wiki/Unfaithful_(1931_film)	1931	John Cromwell	Ruth Chatterton, Paul Lukas, Juliette Compton	Drama	NULL	USA
The Unholy Garden	/wiki/The_Unholy_Garden	1931	George Fitzmaurice	Ronald Colman, Fay Wray	Drama	NULL	USA
The Vice Squad	/wiki/The_Vice_Squad	1931	John Cromwell	Kay Francis, Paul Lukas, Judith Wood	Drama, Crime	NULL	USA
The Viking	/wiki/The_Viking_(1931_film)	1931	George Melford	Louise Huntington, Charles Starrett, Arthur Vinton	Adventure film	NULL	USA
Waterloo Bridge	/wiki/Waterloo_Bridge_(1931_film)	1931	James Whale	Mae Clarke, Bette Davis, Frederick Kerr	Drama, War	NULL	USA
Way Back Home	/wiki/Way_Back_Home_(1931_film)	1931	William A. Seiter	Phillips Lord, Bette Davis, Frank Albertson	Comedy, Drama	NULL	USA
Working Girls	/wiki/Working_Girls_(1931_film)	1931	Dorothy Arzner	Judith Wood, Dorothy Hall, Paul Lukas	Drama	NULL	USA
X Marks the Spot	/wiki/X_Marks_the_Spot_(1931_film)	1931	Eric Kenton	Sally Blane, Lew Cody, Fred Kohler	Drama, Crime	NULL	USA
The Yellow Ticket	/wiki/The_Yellow_Ticket	1931	Raoul Walsh	Lionel Barrymore, Laurence Olivier, Elissa Landi	Drama	NULL	USA
20,000 Years in Sing Sing	/wiki/20,000_Years_in_Sing_Sing	1932	Michael Curtiz	Spencer Tracy, Bette Davis, Arthur Byron	Drama	[1]	USA
Afraid to Talk	/wiki/Afraid_to_Talk	1932	Edward L. Cahn	Sidney Fox, Eric Linden, Louis Calhern	Drama, Crime	NULL	USA
The Age of Consent	/wiki/The_Age_of_Consent_(film)	1932	Gregory La Cava	Dorothy Wilson, Arline Judge, John Halliday	Drama	RKO	USA
Air Mail	/wiki/Air_Mail_(film)	1932	John Ford	Ralph Bellamy, Pat O'Brien, Gloria Stuart	Drama, Adventure	Universal	USA
American Madness	/wiki/American_Madness	1932	Frank Capra	Walter Huston, Pat O'Brien, Kay Johnson	Drama	Columbia	USA
As You Desire Me	/wiki/As_You_Desire_Me_(film)	1932	George Fitzmaurice	Greta Garbo, Melvyn Douglas, Erich von Stroheim	Drama	MGM	USA
Attorney for the Defense	/wiki/Attorney_for_the_Defense	1932	Irving Cummings	Edmund Lowe, Constance Cummings, Evelyn Brent	Drama	Columbia	USA
Back Street	/wiki/Back_Street_(1932_film)	1932	John M. Stahl	Irene Dunne, John Boles, ZaSu Pitts	Drama	Universal	USA
The Beast of the City	/wiki/The_Beast_of_the_City	1932	Charles Brabin	Walter Huston, Jean Harlow, Wallace Ford	Drama, Crime	MGM	USA
Behind the Mask	/wiki/Behind_the_Mask_(1932_film)	1932	John Francis Dillon	Jack Holt, Boris Karloff, Constance Cummings	Drama, Horror	Columbia	USA
The Big Broadcast	/wiki/The_Big_Broadcast	1932	Frank Tuttle	Bing Crosby, George Burns, Gracie Allen	Comedy, Musical	Paramount	USA
Big City Blues	/wiki/Big_City_Blues_(1932_film)	1932	Mervyn LeRoy	Eric Linden, Joan Blondell, Walter Catlett	Drama	Warner Bros.	USA
